-----------------------------------------------------------------------
Generation 50

Pacman N°1
[Node 72 | Parent : 71 | Child : L | Depth : 25 | IfNode | Tester : CheckGhostLeftToPacman]
[Node 149 | Parent : 71 | Child : R | Depth : 25 | TerminalNode | Direction : RIGHT]
[Node 67 | Parent : 66 | Child : L | Depth : 26 | TerminalNode | Direction : RIGHT]
[Node 68 | Parent : 66 | Child : R | Depth : 26 | IfNode | Tester : CheckGhostLeftToPacman]
[Node 73 | Parent : 72 | Child : L | Depth : 26 | IfNode | Tester : CheckGhostRightToPacman]
[Node 76 | Parent : 72 | Child : R | Depth : 26 | IfNode | Tester : CheckPacgumDownToPacman]
[Node 69 | Parent : 68 | Child : L | Depth : 27 | TerminalNode | Direction : DOWN]
[Node 70 | Parent : 68 | Child : R | Depth : 27 | TerminalNode | Direction : DOWN]
[Node 74 | Parent : 73 | Child : L | Depth : 27 | TerminalNode | Direction : RIGHT]
[Node 75 | Parent : 73 | Child : R | Depth : 27 | TerminalNode | Direction : LEFT]
[Node 77 | Parent : 76 | Child : L | Depth : 27 | TerminalNode | Direction : LEFT]
[Node 78 | Parent : 76 | Child : R | Depth : 27 | IfNode | Tester : CheckWallLeftToPacman]
[Node 79 | Parent : 78 | Child : L | Depth : 28 | IfNode | Tester : CheckGhostLeftToPacman]
[Node 140 | Parent : 78 | Child : R | Depth : 28 | IfNode | Tester : CheckGhostIsClose]
[Node 80 | Parent : 79 | Child : L | Depth : 29 | IfNode | Tester : CheckGhostDownToPacman]
[Node 83 | Parent : 79 | Child : R | Depth : 29 | IfNode | Tester : CheckGhostIsClose]
[Node 141 | Parent : 140 | Child : L | Depth : 29 | IfNode | Tester : CheckGhostLeftToPacman]
[Node 146 | Parent : 140 | Child : R | Depth : 29 | IfNode | Tester : CheckGhostIsClose]
[Node 81 | Parent : 80 | Child : L | Depth : 30 | TerminalNode | Direction : RIGHT]
[Node 82 | Parent : 80 | Child : R | Depth : 30 | TerminalNode | Direction : LEFT]
[Node 84 | Parent : 83 | Child : L | Depth : 30 | IfNode | Tester : CheckGhostIsClose]
[Node 89 | Parent : 83 | Child : R | Depth : 30 | IfNode | Tester : CheckGhostLeftToPacman]
[Node 142 | Parent : 141 | Child : L | Depth : 30 | TerminalNode | Direction : DOWN]
[Node 143 | Parent : 141 | Child : R | Depth : 30 | IfNode | Tester : CheckGhostLeftToPacman]
[Node 147 | Parent : 146 | Child : L | Depth : 30 | TerminalNode | Direction : RIGHT]
[Node 148 | Parent : 146 | Child : R | Depth : 30 | TerminalNode | Direction : DOWN]
[Node 85 | Parent : 84 | Child : L | Depth : 31 | TerminalNode | Direction : LEFT]
[Node 86 | Parent : 84 | Child : R | Depth : 31 | IfNode | Tester : CheckGhostLeftToPacman]
[Node 90 | Parent : 89 | Child : L | Depth : 31 | IfNode | Tester : CheckGhostLeftToPacman]
[Node 139 | Parent : 89 | Child : R | Depth : 31 | TerminalNode | Direction : RIGHT]
[Node 144 | Parent : 143 | Child : L | Depth : 31 | TerminalNode | Direction : DOWN]
[Node 145 | Parent : 143 | Child : R | Depth : 31 | TerminalNode | Direction : UP]
[Node 87 | Parent : 86 | Child : L | Depth : 32 | TerminalNode | Direction : DOWN]
[Node 88 | Parent : 86 | Child : R | Depth : 32 | TerminalNode | Direction : DOWN]
[Node 91 | Parent : 90 | Child : L | Depth : 32 | IfNode | Tester : CheckGhostRightToPacman]
[Node 94 | Parent : 90 | Child : R | Depth : 32 | IfNode | Tester : CheckPacgumDownToPacman]
[Node 92 | Parent : 91 | Child : L | Depth : 33 | TerminalNode | Direction : RIGHT]
[Node 93 | Parent : 91 | Child : R | Depth : 33 | TerminalNode | Direction : LEFT]
[Node 95 | Parent : 94 | Child : L | Depth : 33 | TerminalNode | Direction : UP]
[Node 96 | Parent : 94 | Child : R | Depth : 33 | IfNode | Tester : CheckWallLeftToPacman]
[Node 97 | Parent : 96 | Child : L | Depth : 34 | TerminalNode | Direction : RIGHT]
[Node 98 | Parent : 96 | Child : R | Depth : 34 | IfNode | Tester : CheckGhostIsClose]
[Node 99 | Parent : 98 | Child : L | Depth : 35 | TerminalNode | Direction : LEFT]
