[IfNode | N°359 | Parent N° 351 - rightChild | Depth : 9 | Tester : CheckWallLeftToPacman]
[IfNode | N°370 | Parent N° 368 - leftChild | Depth : 9 | Tester : CheckWallLeftToPacman]
[IfNode | N°371 | Parent N° 368 - rightChild | Depth : 9 | Tester : CheckWallLeftToPacman]
[IfNode | N°376 | Parent N° 369 - leftChild | Depth : 9 | Tester : CheckWallLeftToPacman]
[TerminalNode | N°377 | Parent N° 369 - rightChild | Depth : 9 | Direction : RIGHT]
[TerminalNode | N°384 | Parent N° 382 - leftChild | Depth : 9 | Direction : LEFT]
[IfNode | N°385 | Parent N° 382 - rightChild | Depth : 9 | Tester : CheckWallLeftToPacman]
[IfNode | N°388 | Parent N° 383 - leftChild | Depth : 9 | Tester : CheckWallLeftToPacman]
[IfNode | N°389 | Parent N° 383 - rightChild | Depth : 9 | Tester : CheckWallLeftToPacman]
[IfNode | N°398 | Parent N° 396 - leftChild | Depth : 9 | Tester : CheckWallLeftToPacman]
[IfNode | N°399 | Parent N° 396 - rightChild | Depth : 9 | Tester : CheckWallLeftToPacman]
[TerminalNode | N°404 | Parent N° 397 - leftChild | Depth : 9 | Direction : UP]
[IfNode | N°405 | Parent N° 397 - rightChild | Depth : 9 | Tester : CheckWallLeftToPacman]
[IfNode | N°410 | Parent N° 408 - leftChild | Depth : 9 | Tester : CheckWallLeftToPacman]
[IfNode | N°411 | Parent N° 408 - rightChild | Depth : 9 | Tester : CheckWallLeftToPacman]
[TerminalNode | N°20 | Parent N° 18 - leftChild | Depth : 10 | Direction : UP]
[TerminalNode | N°21 | Parent N° 18 - rightChild | Depth : 10 | Direction : UP]
[TerminalNode | N°28 | Parent N° 26 - leftChild | Depth : 10 | Direction : LEFT]
[TerminalNode | N°29 | Parent N° 26 - rightChild | Depth : 10 | Direction : RIGHT]
[TerminalNode | N°30 | Parent N° 27 - leftChild | Depth : 10 | Direction : LEFT]
[TerminalNode | N°31 | Parent N° 27 - rightChild | Depth : 10 | Direction : DOWN]
[TerminalNode | N°44 | Parent N° 43 - leftChild | Depth : 10 | Direction : LEFT]
[TerminalNode | N°45 | Parent N° 43 - rightChild | Depth : 10 | Direction : RIGHT]
[TerminalNode | N°48 | Parent N° 46 - leftChild | Depth : 10 | Direction : LEFT]
[TerminalNode | N°49 | Parent N° 46 - rightChild | Depth : 10 | Direction : UP]
[TerminalNode | N°50 | Parent N° 47 - leftChild | Depth : 10 | Direction : RIGHT]
[TerminalNode | N°51 | Parent N° 47 - rightChild | Depth : 10 | Direction : LEFT]
[TerminalNode | N°56 | Parent N° 54 - leftChild | Depth : 10 | Direction : RIGHT]
[TerminalNode | N°57 | Parent N° 54 - rightChild | Depth : 10 | Direction : UP]
[TerminalNode | N°58 | Parent N° 55 - leftChild | Depth : 10 | Direction : RIGHT]
[TerminalNode | N°59 | Parent N° 55 - rightChild | Depth : 10 | Direction : UP]
[TerminalNode | N°62 | Parent N° 60 - leftChild | Depth : 10 | Direction : DOWN]
[TerminalNode | N°63 | Parent N° 60 - rightChild | Depth : 10 | Direction : DOWN]
[TerminalNode | N°64 | Parent N° 61 - leftChild | Depth : 10 | Direction : LEFT]
[TerminalNode | N°65 | Parent N° 61 - rightChild | Depth : 10 | Direction : RIGHT]
[TerminalNode | N°74 | Parent N° 72 - leftChild | Depth : 10 | Direction : UP]
[TerminalNode | N°75 | Parent N° 72 - rightChild | Depth : 10 | Direction : LEFT]
[TerminalNode | N°76 | Parent N° 73 - leftChild | Depth : 10 | Direction : UP]
[TerminalNode | N°77 | Parent N° 73 - rightChild | Depth : 10 | Direction : UP]
[TerminalNode | N°88 | Parent N° 86 - leftChild | Depth : 10 | Direction : RIGHT]
[TerminalNode | N°89 | Parent N° 86 - rightChild | Depth : 10 | Direction : LEFT]
[TerminalNode | N°94 | Parent N° 92 - leftChild | Depth : 10 | Direction : RIGHT]
[TerminalNode | N°95 | Parent N° 92 - rightChild | Depth : 10 | Direction : LEFT]
[TerminalNode | N°96 | Parent N° 93 - leftChild | Depth : 10 | Direction : LEFT]
[TerminalNode | N°97 | Parent N° 93 - rightChild | Depth : 10 | Direction : RIGHT]
[TerminalNode | N°104 | Parent N° 102 - leftChild | Depth : 10 | Direction : RIGHT]
[TerminalNode | N°105 | Parent N° 102 - rightChild | Depth : 10 | Direction : LEFT]
[TerminalNode | N°110 | Parent N° 108 - leftChild | Depth : 10 | Direction : RIGHT]
[TerminalNode | N°111 | Parent N° 108 - rightChild | Depth : 10 | Direction : LEFT]
[TerminalNode | N°112 | Parent N° 109 - leftChild | Depth : 10 | Direction : LEFT]
[TerminalNode | N°113 | Parent N° 109 - rightChild | Depth : 10 | Direction : DOWN]
[TerminalNode | N°118 | Parent N° 116 - leftChild | Depth : 10 | Direction : LEFT]
[TerminalNode | N°119 | Parent N° 116 - rightChild | Depth : 10 | Direction : UP]
[TerminalNode | N°120 | Parent N° 117 - leftChild | Depth : 10 | Direction : DOWN]
[TerminalNode | N°121 | Parent N° 117 - rightChild | Depth : 10 | Direction : RIGHT]
[TerminalNode | N°124 | Parent N° 122 - leftChild | Depth : 10 | Direction : RIGHT]
[TerminalNode | N°125 | Parent N° 122 - rightChild | Depth : 10 | Direction : LEFT]
[TerminalNode | N°126 | Parent N° 123 - leftChild | Depth : 10 | Direction : DOWN]
[TerminalNode | N°127 | Parent N° 123 - rightChild | Depth : 10 | Direction : RIGHT]
[TerminalNode | N°226 | Parent N° 224 - leftChild | Depth : 10 | Direction : RIGHT]
[TerminalNode | N°227 | Parent N° 224 - rightChild | Depth : 10 | Direction : RIGHT]
[TerminalNode | N°228 | Parent N° 225 - leftChild | Depth : 10 | Direction : RIGHT]
[TerminalNode | N°229 | Parent N° 225 - rightChild | Depth : 10 | Direction : RIGHT]
[TerminalNode | N°232 | Parent N° 230 - leftChild | Depth : 10 | Direction : LEFT]
[TerminalNode | N°233 | Parent N° 230 - rightChild | Depth : 10 | Direction : DOWN]
[TerminalNode | N°234 | Parent N° 231 - leftChild | Depth : 10 | Direction : RIGHT]
[TerminalNode | N°235 | Parent N° 231 - rightChild | Depth : 10 | Direction : RIGHT]
[TerminalNode | N°244 | Parent N° 242 - leftChild | Depth : 10 | Direction : RIGHT]
[TerminalNode | N°245 | Parent N° 242 - rightChild | Depth : 10 | Direction : DOWN]
[TerminalNode | N°246 | Parent N° 243 - leftChild | Depth : 10 | Direction : RIGHT]
[TerminalNode | N°247 | Parent N° 243 - rightChild | Depth : 10 | Direction : UP]
[TerminalNode | N°286 | Parent N° 284 - leftChild | Depth : 10 | Direction : DOWN]
[TerminalNode | N°287 | Parent N° 284 - rightChild | Depth : 10 | Direction : LEFT]
[TerminalNode | N°292 | Parent N° 290 - leftChild | Depth : 10 | Direction : DOWN]
[TerminalNode | N°293 | Parent N° 290 - rightChild | Depth : 10 | Direction : RIGHT]
[TerminalNode | N°294 | Parent N° 291 - leftChild | Depth : 10 | Direction : UP]
[TerminalNode | N°295 | Parent N° 291 - rightChild | Depth : 10 | Direction : DOWN]
[TerminalNode | N°300 | Parent N° 298 - leftChild | Depth : 10 | Direction : UP]
[TerminalNode | N°301 | Parent N° 298 - rightChild | Depth : 10 | Direction : LEFT]
[TerminalNode | N°302 | Parent N° 299 - leftChild | Depth : 10 | Direction : LEFT]
[TerminalNode | N°303 | Parent N° 299 - rightChild | Depth : 10 | Direction : UP]
[TerminalNode | N°316 | Parent N° 314 - leftChild | Depth : 10 | Direction : RIGHT]
[TerminalNode | N°317 | Parent N° 314 - rightChild | Depth : 10 | Direction : UP]
[TerminalNode | N°318 | Parent N° 315 - leftChild | Depth : 10 | Direction : RIGHT]
[TerminalNode | N°319 | Parent N° 315 - rightChild | Depth : 10 | Direction : DOWN]
[TerminalNode | N°322 | Parent N° 320 - leftChild | Depth : 10 | Direction : LEFT]
[TerminalNode | N°323 | Parent N° 320 - rightChild | Depth : 10 | Direction : DOWN]
[TerminalNode | N°354 | Parent N° 352 - leftChild | Depth : 10 | Direction : RIGHT]
[TerminalNode | N°355 | Parent N° 352 - rightChild | Depth : 10 | Direction : RIGHT]
[TerminalNode | N°360 | Parent N° 358 - leftChild | Depth : 10 | Direction : UP]
[TerminalNode | N°361 | Parent N° 358 - rightChild | Depth : 10 | Direction : UP]
[TerminalNode | N°362 | Parent N° 359 - leftChild | Depth : 10 | Direction : LEFT]
[TerminalNode | N°363 | Parent N° 359 - rightChild | Depth : 10 | Direction : LEFT]
[TerminalNode | N°372 | Parent N° 370 - leftChild | Depth : 10 | Direction : DOWN]
[TerminalNode | N°373 | Parent N° 370 - rightChild | Depth : 10 | Direction : DOWN]
[TerminalNode | N°374 | Parent N° 371 - leftChild | Depth : 10 | Direction : DOWN]
[TerminalNode | N°375 | Parent N° 371 - rightChild | Depth : 10 | Direction : DOWN]
[TerminalNode | N°378 | Parent N° 376 - leftChild | Depth : 10 | Direction : UP]
[TerminalNode | N°379 | Parent N° 376 - rightChild | Depth : 10 | Direction : DOWN]
[TerminalNode | N°386 | Parent N° 385 - leftChild | Depth : 10 | Direction : UP]
[TerminalNode | N°387 | Parent N° 385 - rightChild | Depth : 10 | Direction : RIGHT]
[TerminalNode | N°390 | Parent N° 388 - leftChild | Depth : 10 | Direction : RIGHT]
[TerminalNode | N°391 | Parent N° 388 - rightChild | Depth : 10 | Direction : UP]
[TerminalNode | N°392 | Parent N° 389 - leftChild | Depth : 10 | Direction : LEFT]
[TerminalNode | N°393 | Parent N° 389 - rightChild | Depth : 10 | Direction : UP]
[TerminalNode | N°400 | Parent N° 398 - leftChild | Depth : 10 | Direction : UP]
[TerminalNode | N°401 | Parent N° 398 - rightChild | Depth : 10 | Direction : DOWN]
[TerminalNode | N°402 | Parent N° 399 - leftChild | Depth : 10 | Direction : LEFT]
[TerminalNode | N°403 | Parent N° 399 - rightChild | Depth : 10 | Direction : UP]
[TerminalNode | N°406 | Parent N° 405 - leftChild | Depth : 10 | Direction : UP]
[TerminalNode | N°407 | Parent N° 405 - rightChild | Depth : 10 | Direction : UP]
[TerminalNode | N°412 | Parent N° 410 - leftChild | Depth : 10 | Direction : UP]
[TerminalNode | N°413 | Parent N° 410 - rightChild | Depth : 10 | Direction : DOWN]
[TerminalNode | N°414 | Parent N° 411 - leftChild | Depth : 10 | Direction : DOWN]
[TerminalNode | N°415 | Parent N° 411 - rightChild | Depth : 10 | Direction : DOWN]
